date,road,fixed_corridor,observation_time,time_block,day,weather,temperature,rain_chance,traffic_level,traffic_score,traffic_pattern,congestion_location,day_encoded,traffic_pattern_encoded,traffic_level_encoded,congestion_location_encoded
2026-08-08,lekki-epe expy,lekkiphase1-ajah,2026-08-19 09:07:00,2026-08-19 09:00:00,Saturday,cloudy,25.0,0.1,low,1,G/Y/R,mixed,5,6,0,3
2026-08-08,funsho williams avenue,unknown,2026-08-19 09:08:00,2026-08-19 09:00:00,Saturday,cloudy,25.0,0.1,low,1,G/Y/R,junction,5,6,0,2
2026-08-08,lagos-abeokuta expy,abule egba-iyana ipaja,2026-08-19 09:09:00,2026-08-19 09:00:00,Saturday,cloudy,25.0,0.1,low,1,G/Y/R,mixed,5,6,0,3
2026-08-08,ikorodu road,unknown,2026-08-19 09:10:00,2026-08-19 09:00:00,Saturday,cloudy,25.0,0.1,low,1,G/Y/R,road segment,5,6,0,1
2026-08-08,third mainland bridge,oworonshole – adekunle,2026-08-19 09:11:00,2026-08-19 09:00:00,Saturday,cloudy,25.0,0.1,low,1,G,none evident,5,0,0,0
2026-08-08,apapa-oshodi expy,mile2-oshodi,2026-08-19 09:12:00,2026-08-19 09:00:00,Saturday,cloudy,25.0,0.1,low,1,G/Y,road segment,5,3,0,1
2026-08-08,lagos-ibadan expy,ojota-berger,2026-08-19 09:13:00,2026-08-19 09:00:00,Saturday,cloudy,25.0,0.1,medium,2,Y/R,road segment,5,5,1,1
2026-08-08,third mainland bridge,oworonshole – adekunle,2026-08-19 16:01:00,2026-08-19 16:00:00,Saturday,light rain,27.0,0.2,low,1,G/Y/R,road segment,5,6,0,1
2026-08-08,ikorodu road,unknown,2026-08-19 16:02:00,2026-08-19 16:00:00,Saturday,light rain,27.0,0.2,medium,2,Y/R,mixed,5,5,1,3
2026-08-08,lagos-abeokuta expy,abule egba-iyana ipaja,2026-08-19 16:02:00,2026-08-19 16:00:00,Saturday,light rain,27.0,0.2,medium,2,Y/R,mixed,5,5,1,3
2026-08-08,funsho williams avenue,unknown,2026-08-19 16:03:00,2026-08-19 16:00:00,Saturday,light rain,27.0,0.2,low,1,G/Y,road segment,5,3,0,1
2026-08-08,lagos-ibadan expy,ojota-berger,2026-08-19 16:04:00,2026-08-19 16:00:00,Saturday,light rain,27.0,0.2,low,1,G,none evident,5,0,0,0
2026-08-08,apapa-oshodi expy,mile2-oshodi,2026-08-19 16:05:00,2026-08-19 16:00:00,Saturday,light rain,27.0,0.2,medium,2,Y/R,road segment,5,5,1,1
2026-08-08,lekki-epe expy,lekkiphase1-ajah,2026-08-19 16:06:00,2026-08-19 16:00:00,Saturday,light rain,27.0,0.2,low,1,G/Y,road segment,5,3,0,1
2026-08-08,lagos-badagry expy,mile2-festac,2026-08-19 16:07:00,2026-08-19 16:00:00,Saturday,light rain,27.0,0.2,medium,2,Y,none evident,5,1,1,0
2026-08-08,lagos-abeokuta expy,abule egba-iyana ipaja,2026-08-19 17:15:00,2026-08-19 17:00:00,Saturday,mostly cloudy,27.0,0.1,medium,2,Y/R,road segment,5,5,1,1
2026-08-08,funsho williams avenue,unknown,2026-08-19 17:15:00,2026-08-19 17:00:00,Saturday,mostly cloudy,27.0,0.1,low,1,G,none evident,5,0,0,0
2026-08-08,lagos-ibadan expy,ojota-berger,2026-08-19 17:20:00,2026-08-19 17:00:00,Saturday,mostly cloudy,27.0,0.1,low,1,G/Y,road segment,5,3,0,1
2026-08-08,apapa-oshodi expy,mile2-oshodi,2026-08-19 17:21:00,2026-08-19 17:00:00,Saturday,mostly cloudy,27.0,0.1,low,1,G/Y/R,mixed,5,6,0,3
2026-08-08,lekki-epe expy,lekkiphase1-ajah,2026-08-19 17:22:00,2026-08-19 17:00:00,Saturday,mostly cloudy,27.0,0.1,low,1,G/Y,road segment,5,3,0,1
2026-08-08,lagos-badagry expy,mile2-festac,2026-08-19 17:23:00,2026-08-19 17:00:00,Saturday,mostly cloudy,27.0,0.1,low,1,G,none evident,5,0,0,0
2026-08-08,third mainland bridge,oworonshole – adekunle,2026-08-19 17:23:00,2026-08-19 17:00:00,Saturday,mostly cloudy,27.0,0.1,low,1,G,none evident,5,0,0,0
2026-08-08,ikorodu road,unknown,2026-08-19 17:24:00,2026-08-19 17:00:00,Saturday,mostly cloudy,27.0,0.1,low,1,G/Y/R,road segment,5,6,0,1
2026-08-08,lagos-ibadan expy,ojota-berger,2026-08-19 18:12:00,2026-08-19 18:00:00,Saturday,mostly cloudy,26.0,0.1,low,1,G/Y/R,road segment,5,6,0,1
2026-08-08,apapa-oshodi expy,mile2-oshodi,2026-08-19 18:13:00,2026-08-19 18:00:00,Saturday,mostly cloudy,26.0,0.1,low,1,G/R,junction,5,4,0,2
2026-08-08,lekki-epe expy,lekkiphase1-ajah,2026-08-19 18:14:00,2026-08-19 18:00:00,Saturday,mostly cloudy,26.0,0.1,low,1,G/Y,road segment,5,3,0,1
2026-08-08,lagos-badagry expy,mile2-festac,2026-08-19 18:16:00,2026-08-19 18:00:00,Saturday,mostly cloudy,26.0,0.1,medium,2,Y/R,junction,5,5,1,2
2026-08-08,third mainland bridge,oworonshole – adekunle,2026-08-19 18:17:00,2026-08-19 18:00:00,Saturday,mostly cloudy,26.0,0.1,low,1,G,none evident,5,0,0,0
2026-08-08,ikorodu road,unknown,2026-08-19 18:17:00,2026-08-19 18:00:00,Saturday,mostly cloudy,26.0,0.1,low,1,G/Y/R,mixed,5,6,0,3
2026-08-08,lagos-abeokuta expy,abule egba-iyana ipaja,2026-08-19 18:18:00,2026-08-19 18:00:00,Saturday,mostly cloudy,26.0,0.1,low,1,G/Y/R,mixed,5,6,0,3
2026-08-08,funsho williams avenue,unknown,2026-08-19 18:19:00,2026-08-19 18:00:00,Saturday,mostly cloudy,26.0,0.1,low,1,G/Y/R,junction,5,6,0,2
2026-08-08,lekki-epe expy,lekkiphase1-ajah,2026-08-19 19:03:00,2026-08-19 19:00:00,Saturday,mostly cloudy,26.0,0.1,low,1,G/Y,road segment,5,3,0,1
2026-08-08,lagos-badagry expy,mile2-festac,2026-08-19 19:04:00,2026-08-19 19:00:00,Saturday,mostly cloudy,26.0,0.1,medium,2,Y/R,junction,5,5,1,2
2026-08-08,third mainland bridge,oworonshole – adekunle,2026-08-19 19:04:00,2026-08-19 19:00:00,Saturday,mostly cloudy,26.0,0.1,low,1,G,none evident,5,0,0,0
2026-08-08,ikorodu road,unknown,2026-08-19 19:05:00,2026-08-19 19:00:00,Saturday,mostly cloudy,26.0,0.1,low,1,G/Y,road segment,5,3,0,1
2026-08-08,lagos-abeokuta expy,abule egba-iyana ipaja,2026-08-19 19:06:00,2026-08-19 19:00:00,Saturday,mostly cloudy,26.0,0.1,low,1,G/Y/R,road segment,5,6,0,1
2026-08-08,funsho williams avenue,unknown,2026-08-19 19:07:00,2026-08-19 19:00:00,Saturday,mostly cloudy,26.0,0.1,low,1,G/Y,road segment,5,3,0,1
2026-08-08,lagos-ibadan expy,ojota-berger,2026-08-19 19:08:00,2026-08-19 19:00:00,Saturday,mostly cloudy,26.0,0.1,low,1,G/Y,road segment,5,3,0,1
2026-08-08,apapa-oshodi expy,mile2-oshodi,2026-08-19 19:09:00,2026-08-19 19:00:00,Saturday,mostly cloudy,26.0,0.1,low,1,G/Y,junction,5,3,0,2
2026-09-09,funsho williams avenue,unknown,2026-08-19 07:10:00,2026-08-19 07:00:00,Sunday,light rain,24.0,0.2,low,1,G,none evident,6,0,0,0
2026-09-09,Lagos-abeokuta,abule egba-iyana ipaja,2026-08-19 07:11:00,2026-08-19 07:00:00,Sunday,light rain,24.0,0.2,low,1,G/Y,road segment,6,3,0,1
2026-09-09,lagos-ibadan expy,ojota-berger,2026-08-19 07:12:00,2026-08-19 07:00:00,Sunday,light rain,24.0,0.2,low,1,G,none evident,6,0,0,0
2026-09-09,apapa-oshodi expy,mile2-oshodi,2026-08-19 07:12:00,2026-08-19 07:00:00,Sunday,light rain,24.0,0.2,low,1,G,none evident,6,0,0,0
2026-09-09,lekki-epe expy,lekkiphase1-ajah,2026-08-19 07:13:00,2026-08-19 07:00:00,Sunday,light rain,24.0,0.2,low,1,G,none evident,6,0,0,0
2026-09-09,lagos-badagry expy,mile2-festac,2026-08-19 07:14:00,2026-08-19 07:00:00,Sunday,light rain,24.0,0.2,low,1,G,none evident,6,0,0,0
2026-09-09,ikorodu road,unknown,2026-08-19 07:15:00,2026-08-19 07:00:00,Sunday,light rain,24.0,0.2,low,1,G/Y,road segment,6,3,0,1
2026-09-09,third mainland bridge,oworonshole – adekunle,2026-08-19 07:15:00,2026-08-19 07:00:00,Sunday,light rain,24.0,0.2,low,1,G,none evident,6,0,0,0
2026-09-09,funsho williams avenue,unknown,2026-08-19 08:03:00,2026-08-19 08:00:00,Sunday,light rain,25.0,0.2,low,1,G,none evident,6,0,0,0
2026-09-09,Lagos-abeokuta,abule egba-iyana ipaja,2026-08-19 08:04:00,2026-08-19 08:00:00,Sunday,light rain,25.0,0.2,low,1,G/Y,road segment,6,3,0,1
2026-09-09,lagos-ibadan expy,ojota-berger,2026-08-19 08:05:00,2026-08-19 08:00:00,Sunday,light rain,25.0,0.2,low,1,G,none evident,6,0,0,0
2026-09-09,apapa-oshodi expy,mile2-oshodi,2026-08-19 08:05:00,2026-08-19 08:00:00,Sunday,light rain,25.0,0.2,low,1,G,none evident,6,0,0,0
2026-09-09,lekki-epe expy,lekkiphase1-ajah,2026-08-19 08:06:00,2026-08-19 08:00:00,Sunday,light rain,25.0,0.2,low,1,G/Y,road segment,6,3,0,1
2026-09-09,lagos-badagry expy,mile2-festac,2026-08-19 08:06:00,2026-08-19 08:00:00,Sunday,light rain,25.0,0.2,low,1,G/R,road segment,6,4,0,1
2026-09-09,ikorodu road,unknown,2026-08-19 08:07:00,2026-08-19 08:00:00,Sunday,light rain,25.0,0.2,low,1,G/Y/R,mixed,6,6,0,3
2026-09-09,third mainland bridge,oworonshole – adekunle,2026-08-19 08:07:00,2026-08-19 08:00:00,Sunday,light rain,25.0,0.2,low,1,G,none evident,6,0,0,0
2026-09-09,lagos-ibadan expy,ojota-berger,2026-08-19 09:06:00,2026-08-19 09:00:00,Sunday,light rain,26.0,0.2,low,1,G/Y,road segment,6,3,0,1
2026-09-09,apapa-oshodi expy,mile2-oshodi,2026-08-19 09:07:00,2026-08-19 09:00:00,Sunday,light rain,26.0,0.2,low,1,G,none evident,6,0,0,0
2026-09-09,lekki-epe expy,lekkiphase1-ajah,2026-08-19 09:07:00,2026-08-19 09:00:00,Sunday,light rain,26.0,0.2,low,1,G,none evident,6,0,0,0
2026-09-09,lagos-badagry expy,mile2-festac,2026-08-19 09:07:00,2026-08-19 09:00:00,Sunday,light rain,26.0,0.2,low,1,G/Y,road segment,6,3,0,1
2026-09-09,ikorodu road,unknown,2026-08-19 09:08:00,2026-08-19 09:00:00,Sunday,light rain,26.0,0.2,low,1,G/Y/R,mixed,6,6,0,3
2026-09-09,third mainland bridge,oworonshole – adekunle,2026-08-19 09:08:00,2026-08-19 09:00:00,Sunday,light rain,26.0,0.2,low,1,G,none evident,6,0,0,0
2026-09-09,funsho williams avenue,unknown,2026-08-19 09:08:00,2026-08-19 09:00:00,Sunday,light rain,26.0,0.2,low,1,G,none evident,6,0,0,0
2026-09-09,Lagos-abeokuta,abule egba-iyana ipaja,2026-08-19 09:09:00,2026-08-19 09:00:00,Sunday,light rain,26.0,0.2,low,1,G/Y,road segment,6,3,0,1
2026-09-11,third mainland bridge,oworonshole – adekunle,2026-08-19 07:01:00,2026-08-19 07:00:00,Tuesday,mostly cloudy,24.0,0.1,medium,2,G/Y/R,mixed,1,6,1,3
2026-09-11,ikorodu road,unknown,2026-08-19 07:02:00,2026-08-19 07:00:00,Tuesday,mostly cloudy,24.0,0.1,medium,2,Y/R,mixed,1,5,1,3
2026-09-11,funsho williams avenue,unknown,2026-08-19 07:02:00,2026-08-19 07:00:00,Tuesday,mostly cloudy,24.0,0.1,low,1,G/Y/R,road segment,1,6,0,1
2026-09-11,Lagos-abeokuta,abule egba-iyana ipaja,2026-08-19 07:03:00,2026-08-19 07:00:00,Tuesday,mostly cloudy,24.0,0.1,low,1,G/Y/R,mixed,1,6,0,3
2026-09-11,apapa-oshodi expy,mile2-oshodi,2026-08-19 07:03:00,2026-08-19 07:00:00,Tuesday,mostly cloudy,24.0,0.1,low,1,G,none evident,1,0,0,0
2026-09-11,lagos-ibadan expy,ojota-berger,2026-08-19 07:04:00,2026-08-19 07:00:00,Tuesday,mostly cloudy,24.0,0.1,low,1,G,none evident,1,0,0,0
2026-09-11,lagos-badagry expy,mile2-festac,2026-08-19 07:04:00,2026-08-19 07:00:00,Tuesday,mostly cloudy,24.0,0.1,medium,2,G/Y,none evident,1,3,1,0
2026-09-11,lekki-epe expy,lekkiphase1-ajah,2026-08-19 07:05:00,2026-08-19 07:00:00,Tuesday,mostly cloudy,24.0,0.1,low,1,G/Y/R,road segment,1,6,0,1
2026-09-11,third mainland bridge,oworonshole – adekunle,2026-08-19 08:02:00,2026-08-19 08:00:00,Tuesday,mostly cloudy,25.0,0.1,low,1,G/Y/R,mixed,1,6,0,3
2026-09-11,ikorodu road,unknown,2026-08-19 08:02:00,2026-08-19 08:00:00,Tuesday,mostly cloudy,25.0,0.1,low,1,G/Y/R,road segment,1,6,0,1
2026-09-11,funsho williams avenue,unknown,2026-08-19 08:02:00,2026-08-19 08:00:00,Tuesday,mostly cloudy,25.0,0.1,low,1,G/Y/R,road segment,1,6,0,1
2026-09-11,Lagos-abeokuta,abule egba-iyana ipaja,2026-08-19 08:03:00,2026-08-19 08:00:00,Tuesday,mostly cloudy,25.0,0.1,medium,2,G/Y/R,road segment,1,6,1,1
2026-09-11,apapa-oshodi expy,mile2-oshodi,2026-08-19 08:04:00,2026-08-19 08:00:00,Tuesday,mostly cloudy,25.0,0.1,low,1,G/Y,junction,1,3,0,2
2026-09-11,lagos-ibadan expy,ojota-berger,2026-08-19 08:05:00,2026-08-19 08:00:00,Tuesday,mostly cloudy,25.0,0.1,low,1,G/Y/R,mixed,1,6,0,3
2026-09-11,lagos-badagry expy,mile2-festac,2026-08-19 08:06:00,2026-08-19 08:00:00,Tuesday,mostly cloudy,25.0,0.1,low,1,G/Y/R,mixed,1,6,0,3
2026-09-11,lekki-epe expy,lekkiphase1-ajah,2026-08-19 08:07:00,2026-08-19 08:00:00,Tuesday,mostly cloudy,25.0,0.1,low,1,G/Y/R,road segment,1,6,0,1
2026-09-11,funsho williams avenue,unknown,2026-08-19 09:22:00,2026-08-19 09:00:00,Tuesday,partly sunny,26.0,0.1,low,1,G/Y,road segment,1,3,0,1
2026-09-11,Lagos-abeokuta,abule egba-iyana ipaja,2026-08-19 09:23:00,2026-08-19 09:00:00,Tuesday,partly sunny,26.0,0.1,low,1,G/Y,road segment,1,3,0,1
2026-09-11,apapa-oshodi expy,mile2-oshodi,2026-08-19 09:24:00,2026-08-19 09:00:00,Tuesday,partly sunny,26.0,0.1,low,1,G/Y/R,road segment,1,6,0,1
2026-09-11,lagos-ibadan expy,ojota-berger,2026-08-19 09:25:00,2026-08-19 09:00:00,Tuesday,partly sunny,26.0,0.1,low,1,G,none evident,1,0,0,0
2026-09-11,lagos-badagry expy,mile2-festac,2026-08-19 09:25:00,2026-08-19 09:00:00,Tuesday,partly sunny,26.0,0.1,low,1,G/Y/R,road segment,1,6,0,1
2026-09-11,lekki-epe expy,lekkiphase1-ajah,2026-08-19 09:26:00,2026-08-19 09:00:00,Tuesday,partly sunny,26.0,0.1,low,1,G/Y/R,road segment,1,6,0,1
2026-09-11,third mainland bridge,oworonshole – adekunle,2026-08-19 09:27:00,2026-08-19 09:00:00,Tuesday,partly sunny,26.0,0.1,low,1,G,none evident,1,0,0,0
2026-09-11,ikorodu road,unknown,2026-08-19 09:27:00,2026-08-19 09:00:00,Tuesday,partly sunny,26.0,0.1,low,1,G/Y/R,road segment,1,6,0,1
2026-09-11,lekki-epe expy,lekkiphase1-ajah,2026-08-19 16:02:00,2026-08-19 16:00:00,Tuesday,cloudy,26.0,0.1,low,1,G/Y/R,road segment,1,6,0,1
2026-09-11,lagos-badagry expy,mile2-festac,2026-08-19 16:03:00,2026-08-19 16:00:00,Tuesday,cloudy,26.0,0.1,low,1,G/Y,road segment,1,3,0,1
2026-09-11,lagos-ibadan expy,ojota-berger,2026-08-19 16:03:00,2026-08-19 16:00:00,Tuesday,cloudy,26.0,0.1,low,1,G/Y,road segment,1,3,0,1
2026-09-11,apapa-oshodi expy,mile2-oshodi,2026-08-19 16:03:00,2026-08-19 16:00:00,Tuesday,cloudy,26.0,0.1,low,1,G/Y,road segment,1,3,0,1
2026-09-11,third mainland bridge,oworonshole – adekunle,2026-08-19 16:04:00,2026-08-19 16:00:00,Tuesday,cloudy,26.0,0.1,low,1,G/R,mixed,1,4,0,3
2026-09-11,ikorodu road,unknown,2026-08-19 16:04:00,2026-08-19 16:00:00,Tuesday,cloudy,26.0,0.1,low,1,G/Y,mixed,1,3,0,3
2026-09-11,Lagos-abeokuta,abule egba-iyana ipaja,2026-08-19 16:05:00,2026-08-19 16:00:00,Tuesday,cloudy,26.0,0.1,low,1,G/Y/R,mixed,1,6,0,3
2026-09-11,funsho williams avenue,unknown,2026-08-19 16:05:00,2026-08-19 16:00:00,Tuesday,cloudy,26.0,0.1,low,1,G/Y/R,mixed,1,6,0,3
2026-09-11,lekki-epe expy,lekkiphase1-ajah,2026-08-19 17:02:00,2026-08-19 17:00:00,Tuesday,cloudy,25.0,0.1,low,1,G/Y,road segment,1,3,0,1
2026-09-11,lagos-badagry expy,mile2-festac,2026-08-19 17:03:00,2026-08-19 17:00:00,Tuesday,cloudy,25.0,0.1,low,1,G/Y/R,road segment,1,6,0,1
2026-09-11,lagos-ibadan expy,ojota-berger,2026-08-19 17:03:00,2026-08-19 17:00:00,Tuesday,cloudy,25.0,0.1,low,1,G/Y,mixed,1,3,0,3
2026-09-11,apapa-oshodi expy,mile2-oshodi,2026-08-19 17:04:00,2026-08-19 17:00:00,Tuesday,cloudy,25.0,0.1,low,1,G/Y/R,mixed,1,6,0,3
2026-09-11,third mainland bridge,oworonshole – adekunle,2026-08-19 17:04:00,2026-08-19 17:00:00,Tuesday,cloudy,25.0,0.1,low,1,G/Y,road segment,1,3,0,1
2026-09-11,ikorodu road,unknown,2026-08-19 17:05:00,2026-08-19 17:00:00,Tuesday,cloudy,25.0,0.1,low,1,G/Y/R,mixed,1,6,0,3
2026-09-11,Lagos-abeokuta,abule egba-iyana ipaja,2026-08-19 17:05:00,2026-08-19 17:00:00,Tuesday,cloudy,25.0,0.1,low,1,G/Y/R,mixed,1,6,0,3
2026-09-11,funsho williams avenue,unknown,2026-08-19 17:06:00,2026-08-19 17:00:00,Tuesday,cloudy,25.0,0.1,low,1,G/Y,mixed,1,3,0,3
